                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6079,                0.43906,                0.90776,                      1,                0.99942,                  0.995,                0.96341,                0.32729,                0.24551,                0.87725,               0.001307,               0.001307,               0.001307
                     38,                0.56854,                0.42479,                0.90353,                0.99606,                0.96296,                0.99293,                0.91281,                0.39568,                 0.3279,                0.88269,              0.0012872,              0.0012872,              0.0012872
                     39,                0.58461,                0.41222,                0.89539,                0.99769,                      1,                  0.995,                0.92401,                0.41378,                0.28802,                0.87054,              0.0012674,              0.0012674,              0.0012674
                     40,                0.56941,                0.44623,                0.88974,                0.99886,                      1,                  0.995,                0.93827,                0.36459,                0.27454,                 0.8681,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56152,                0.41663,                0.91208,                0.99806,                      1,                  0.995,                0.94459,                0.35427,                0.28318,                 0.8811,              0.0012278,              0.0012278,              0.0012278
                     42,                0.59423,                 0.4269,                0.88606,                      1,                0.99961,                  0.995,                0.92001,                0.36463,                0.28037,                0.86633,               0.001208,               0.001208,               0.001208
                     43,                0.53782,                 0.3854,                 0.8995,                0.99929,                      1,                  0.995,                0.93806,                0.37288,                0.28865,                 0.8751,              0.0011882,              0.0011882,              0.0011882
                     44,                0.51424,                0.34773,                0.87052,                0.99815,                      1,                  0.995,                0.92736,                0.39502,                0.27444,                0.87292,              0.0011684,              0.0011684,              0.0011684
                     45,                0.53165,                0.37315,                0.89191,                0.99823,                      1,                  0.995,                 0.9399,                0.39058,                0.27726,                0.87966,              0.0011486,              0.0011486,              0.0011486
                     46,                0.56096,                0.40248,                0.92951,                0.99829,                      1,                  0.995,                0.94144,                 0.3637,                0.28534,                0.86803,              0.0011288,              0.0011288,              0.0011288
                     47,                0.54662,                0.41079,                0.92901,                0.99805,                      1,                  0.995,                0.94916,                0.35521,                0.27568,                0.86677,               0.001109,               0.001109,               0.001109
                     48,                 0.5529,                0.42016,                0.89787,                0.99795,                      1,                  0.995,                0.94802,                0.36446,                 0.2793,                0.87253,              0.0010892,              0.0010892,              0.0010892
                     49,                0.55353,                0.41697,                0.91579,                0.99773,                      1,                  0.995,                0.93001,                0.38448,                 0.2741,                0.86996,              0.0010694,              0.0010694,              0.0010694
                     50,                0.55248,                0.40245,                0.92263,                0.99848,                      1,                  0.995,                0.93586,                0.36192,                0.26307,                0.86256,              0.0010496,              0.0010496,              0.0010496
                     51,                0.53438,                0.34687,                0.87487,                0.99806,                      1,                  0.995,                0.91986,                0.38387,                0.27525,                0.86768,              0.0010298,              0.0010298,              0.0010298
                     52,                0.49985,                0.37482,                0.85481,                0.99862,                      1,                  0.995,                0.94977,                0.36589,                0.26425,                0.86309,                0.00101,                0.00101,                0.00101
                     53,                0.50209,                0.39019,                 0.8799,                0.99868,                      1,                  0.995,                 0.9203,                0.41939,                0.28125,                0.87565,              0.0009902,              0.0009902,              0.0009902
                     54,                0.55951,                0.43148,                0.93257,                0.99843,                      1,                  0.995,                0.94945,                0.33007,                0.24718,                 0.8676,              0.0009704,              0.0009704,              0.0009704
                     55,                0.53961,                0.38802,                0.90259,                0.99844,                      1,                  0.995,                0.91926,                0.41336,                0.28019,                0.86234,              0.0009506,              0.0009506,              0.0009506
                     56,                0.56283,                0.41128,                0.93176,                0.99745,                      1,                  0.995,                0.92898,                0.38187,                 0.2724,                0.86653,              0.0009308,              0.0009308,              0.0009308
                     57,                0.49727,                0.37152,                0.89143,                0.99799,                      1,                  0.995,                0.95077,                0.35714,                 0.2464,                0.86554,               0.000911,               0.000911,               0.000911
                     58,                0.50216,                0.37987,                0.92378,                0.99807,                      1,                  0.995,                0.91493,                0.42581,                0.26906,                0.86266,              0.0008912,              0.0008912,              0.0008912
                     59,                0.51655,                0.35974,                 0.8773,                0.99807,                      1,                  0.995,                0.95966,                0.36604,                0.28243,                0.86611,              0.0008714,              0.0008714,              0.0008714
                     60,                0.51372,                0.37172,                0.91153,                0.99774,                      1,                  0.995,                0.93907,                 0.3799,                0.26192,                 0.8649,              0.0008516,              0.0008516,              0.0008516
                     61,                0.50565,                0.36985,                0.89494,                0.99791,                      1,                  0.995,                0.94181,                0.38155,                0.28007,                0.86752,              0.0008318,              0.0008318,              0.0008318
                     62,                0.51187,                0.37091,                0.89464,                0.99833,                      1,                  0.995,                0.94374,                0.38187,                0.27145,                0.86768,               0.000812,               0.000812,               0.000812
                     63,                0.47451,                0.32771,                0.87464,                0.99854,                      1,                  0.995,                0.93693,                0.36834,                 0.2632,                0.86975,              0.0007922,              0.0007922,              0.0007922
                     64,                0.50105,                0.39235,                0.89814,                0.99839,                      1,                  0.995,                0.90634,                0.45603,                0.30378,                0.86543,              0.0007724,              0.0007724,              0.0007724
                     65,                0.51524,                0.35142,                0.89752,                 0.9981,                      1,                  0.995,                0.94998,                0.32383,                 0.2502,                0.86598,              0.0007526,              0.0007526,              0.0007526
                     66,                0.50201,                0.35805,                0.94553,                0.99794,                      1,                  0.995,                0.95109,                0.38344,                0.25425,                0.86284,              0.0007328,              0.0007328,              0.0007328
                     67,                0.51116,                0.37707,                 0.9047,                0.99811,                      1,                  0.995,                0.94561,                0.35108,                 0.2419,                0.85986,               0.000713,               0.000713,               0.000713
                     68,                0.52739,                0.35886,                0.89872,                0.99765,                      1,                  0.995,                 0.9519,                0.37154,                0.24554,                0.86404,              0.0006932,              0.0006932,              0.0006932
