                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.72886,                 1.0559,                0.47197,                0.94726,                0.95804,                0.96875,                0.99184,                0.62516,                0.91028,                0.92188,                0.91312,                0.48226,                0.90827,                 1.2665,                0.47369,                 1.0235,              0.0015944,              0.0015944,              0.0015944
                     25,                0.79291,                 1.2685,                0.51425,                0.97473,                0.98916,                0.98438,                0.99455,                0.65499,                0.92495,                0.92188,                0.88784,                0.48388,                0.86691,                 1.2164,                 0.4405,                0.96437,              0.0015911,              0.0015911,              0.0015911
                     26,                0.74696,                 1.0841,                0.48781,                 0.9458,                0.99323,                0.98252,                0.99455,                0.66324,                0.92946,                0.92016,                0.88169,                0.50408,                0.89788,                 1.2248,                0.44283,                0.96825,              0.0015878,              0.0015878,              0.0015878
                     27,                0.77628,                 1.1561,                0.53373,                0.95294,                0.95816,                0.98438,                0.99313,                0.69341,                0.78013,                 0.8125,                0.75986,                0.43915,                0.87608,                 1.1929,                0.48039,                 0.9991,              0.0015845,              0.0015845,              0.0015845
                     28,                0.73109,                 1.1934,                0.48541,                0.94351,                0.97675,                0.97305,                0.99371,                0.65939,                0.87094,                0.88665,                0.85347,                0.47893,                0.97816,                 1.2221,                0.59229,                 1.0089,              0.0015812,              0.0015812,              0.0015812
                     29,                0.74446,                 1.1548,                0.49928,                0.94789,                0.97775,                0.98438,                0.99365,                0.65418,                0.83069,                0.85938,                0.78683,                0.43349,                0.92962,                 1.3617,                0.47953,                  1.017,              0.0015779,              0.0015779,              0.0015779
                     30,                0.70365,                 1.0207,                0.46134,                0.92873,                0.99224,                0.96875,                0.99184,                0.67682,                0.75757,                0.76562,                0.69858,                0.43357,                0.87337,                 1.4002,                0.50968,                 1.0012,              0.0015746,              0.0015746,              0.0015746
                     31,                0.70438,                 1.0436,                  0.436,                0.92522,                0.98783,                0.96875,                0.98976,                0.73695,                 0.8754,                0.82812,                 0.8116,                0.46846,                0.74456,                 1.1414,                0.42128,                0.94096,              0.0015713,              0.0015713,              0.0015713
                     32,                0.75977,                 1.1556,                0.46693,                0.95975,                0.98168,                0.96875,                0.98737,                 0.5965,                0.88515,                  0.875,                 0.8276,                  0.406,                 1.2458,                 1.6802,                0.49776,                 1.2266,               0.001568,               0.001568,               0.001568
                     33,                0.77321,                 1.1614,                0.48228,                0.95704,                0.97601,                0.96491,                0.99193,                0.66456,                0.74986,                0.74929,                0.66627,                0.45127,                0.80135,                 1.0794,                0.45565,                0.95358,              0.0015647,              0.0015647,              0.0015647
                     34,                0.81856,                  1.188,                0.48875,                0.96957,                0.96628,                0.97945,                 0.9821,                0.61274,                0.65653,                0.68534,                0.62101,                0.39245,                0.96693,                 1.1006,                0.46209,                 1.0056,              0.0015614,              0.0015614,              0.0015614
                     35,                 0.8129,                 1.1724,                0.49394,                 0.9768,                 0.9882,                0.98438,                0.98552,                 0.7002,                0.74637,                   0.75,                0.70371,                0.43818,                0.92273,                 1.1579,                0.50856,                 1.0047,              0.0015581,              0.0015581,              0.0015581
                     36,                0.70875,                 1.0785,                0.45245,                0.94267,                0.98626,                0.98438,                0.99412,                0.64212,                0.82451,                0.82812,                0.78327,                 0.4767,                0.81334,                 1.2668,                0.44438,                0.98615,              0.0015548,              0.0015548,              0.0015548
                     37,                0.68345,                 1.0028,                0.43583,                0.92341,                0.99414,                0.98398,                0.99171,                0.67926,                0.78488,                0.78096,                 0.7029,                0.45017,                0.91524,                 1.2077,                0.44758,                 1.0298,              0.0015515,              0.0015515,              0.0015515
                     38,                0.69509,                 1.0065,                0.43957,                 0.9359,                0.98922,                0.98438,                0.99143,                0.64397,                0.76255,                0.76562,                0.67283,                0.43755,                0.87212,                 1.1919,                0.43537,                0.99954,              0.0015482,              0.0015482,              0.0015482
