                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3893,                0.55417,                0.80496,                0.89392,                0.92696,                0.95533,                0.55503,                 1.3966,                0.51387,                0.84233,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3723,                0.55071,                0.80087,                0.92824,                   0.88,                 0.9553,                0.59475,                 1.3315,                0.46599,                0.84436,               0.001307,               0.001307,               0.001307
                     38,                 1.4092,                0.56058,                 0.7965,                0.95733,                0.89749,                0.96183,                0.57067,                 1.3864,                0.49212,                0.84255,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4689,                 0.5844,                0.81206,                0.94234,                   0.88,                0.95319,                0.55807,                 1.3206,                0.48876,                0.84184,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5237,                0.59511,                0.80648,                0.90205,                    0.9,                0.94981,                0.55612,                 1.4062,                0.49446,                0.84238,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.357,                0.53761,                0.79834,                0.95251,                   0.89,                0.96423,                0.61163,                 1.2095,                0.43369,                 0.8405,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3105,                0.53214,                0.79973,                 0.9494,                   0.92,                0.98082,                0.61018,                 1.3534,                0.45938,                 0.8401,               0.001208,               0.001208,               0.001208
                     43,                 1.2672,                0.49895,                 0.8071,                0.92858,                0.91014,                0.97662,                0.59995,                 1.3409,                0.44412,                0.84299,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3167,                0.51227,                0.78647,                0.91892,                0.90669,                0.97546,                0.64356,                 1.1885,                0.43102,                0.84161,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.248,                0.52851,                0.79009,                0.92504,                   0.89,                0.96286,                0.61548,                 1.1851,                0.45858,                0.83945,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3226,                0.55555,                0.80441,                0.90798,                0.88805,                0.96449,                 0.6272,                 1.2486,                0.44475,                0.83923,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2662,                0.51745,                0.79008,                0.94553,                   0.93,                0.98324,                0.62728,                 1.2743,                  0.455,                0.84007,               0.001109,               0.001109,               0.001109
                     48,                 1.2958,                0.53531,                0.79889,                0.90383,                0.93985,                0.97755,                0.63124,                 1.1415,                0.42037,                 0.8382,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2142,                0.52065,                0.79464,                0.91172,                0.92948,                0.97813,                 0.6136,                 1.2132,                0.43497,                0.83683,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2673,                0.50046,                0.78192,                0.93745,                 0.8993,                 0.9801,                0.61281,                 1.2088,                0.43658,                0.83952,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2994,                0.51469,                0.80052,                0.92962,                0.92457,                0.98578,                0.61132,                 1.3432,                0.45608,                0.84093,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2982,                0.48285,                0.79918,                0.90272,                   0.93,                0.96824,                  0.604,                 1.3554,                 0.4613,                0.84356,                0.00101,                0.00101,                0.00101
                     53,                 1.3043,                0.52846,                0.79877,                0.96745,                0.89179,                0.98063,                 0.6193,                 1.2523,                0.44954,                0.83942,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2626,                0.52994,                0.78649,                0.96932,                   0.92,                0.98437,                0.59064,                 1.3873,                0.47364,                0.84369,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.274,                0.51537,                0.79982,                0.97799,                 0.8886,                0.98126,                0.62107,                 1.2836,                0.45864,                0.84065,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2515,                0.51057,                0.79251,                0.94484,                   0.92,                 0.9738,                0.60879,                 1.3584,                0.59437,                0.84284,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3094,                 0.4701,                  0.801,                0.96094,                   0.92,                 0.9795,                0.62956,                 1.1552,                0.39805,                0.84003,               0.000911,               0.000911,               0.000911
                     58,                 1.2656,                0.49308,                0.79613,                0.95459,                   0.93,                0.97718,                0.60269,                 1.2721,                0.42794,                0.84247,              0.0008912,              0.0008912,              0.0008912
                     59,                  1.249,                0.47159,                0.79392,                0.96166,                   0.91,                0.97596,                 0.6127,                 1.1957,                0.42134,                 0.8405,              0.0008714,              0.0008714,              0.0008714
                     60,                   1.26,                0.50736,                0.79417,                0.95565,                   0.91,                0.96778,                0.62562,                 1.1871,                0.40363,                0.83797,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.226,                0.47727,                0.79142,                0.97263,                   0.91,                0.96482,                0.61988,                 1.1986,                0.42268,                0.83686,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2283,                0.48352,                0.79924,                0.95229,                   0.91,                 0.9696,                0.56869,                 1.4294,                0.45832,                0.84001,               0.000812,               0.000812,               0.000812
                     63,                 1.2974,                0.49042,                0.80521,                0.94344,                   0.91,                0.97503,                0.61431,                 1.2038,                0.42924,                0.84109,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2829,                0.47548,                0.79632,                0.91754,                   0.92,                0.96641,                0.62276,                  1.252,                0.45119,                0.83732,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2038,                0.44906,                0.79855,                0.95865,                0.92735,                0.98053,                 0.6431,                 1.1833,                0.41345,                0.83689,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1646,                0.43165,                0.79264,                0.95872,                0.92909,                0.98362,                0.64153,                 1.2357,                0.40275,                0.83901,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1894,                0.46007,                0.77674,                0.97893,                0.92931,                0.98747,                0.63605,                 1.1467,                0.40251,                0.83926,               0.000713,               0.000713,               0.000713
                     68,                 1.1811,                0.45943,                0.79128,                0.95782,                   0.94,                0.98252,                 0.6359,                 1.1405,                0.40175,                0.83634,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2089,                0.46422,                0.78798,                0.93955,                   0.91,                0.97214,                0.63154,                 1.1417,                0.40111,                0.83785,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1893,                0.43574,                0.79214,                0.97797,                0.88787,                0.97956,                0.63671,                 1.1729,                0.39767,                0.83826,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1906,                0.47129,                0.77658,                0.95796,                   0.93,                0.98607,                0.64757,                 1.1089,                 0.3731,                0.83787,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.182,                0.42353,                 0.8075,                0.97665,                   0.92,                0.98338,                0.63989,                 1.1405,                0.39863,                0.83919,               0.000614,               0.000614,               0.000614
                     73,                 1.1651,                0.46934,                0.79245,                 0.9651,                   0.92,                0.98001,                0.65019,                 1.1376,                0.38322,                0.83932,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2242,                0.42799,                0.80294,                0.95867,                0.92783,                0.98482,                0.65323,                 1.1305,                0.37048,                0.83814,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1832,                 0.4429,                0.79636,                0.97555,                   0.92,                0.98425,                0.64694,                  1.204,                0.39301,                0.84176,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2204,                 0.4561,                  0.793,                0.97535,                   0.92,                 0.9849,                0.64321,                 1.2552,                0.40119,                0.83978,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.234,                0.47809,                0.79982,                0.96893,                   0.91,                  0.984,                0.65688,                 1.2443,                0.38781,                0.83861,               0.000515,               0.000515,               0.000515
                     78,                 1.1751,                0.42992,                0.79079,                0.96389,                   0.92,                0.98519,                0.65546,                 1.1502,                0.38289,                0.83864,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1574,                0.43664,                0.78628,                0.97671,                   0.92,                 0.9857,                 0.6532,                  1.126,                0.38932,                0.83805,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1719,                0.45952,                0.76954,                0.97887,                   0.93,                0.98813,                  0.664,                 1.1524,                0.39603,                 0.8371,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1467,                 0.4368,                 0.7898,                0.97894,                 0.9296,                0.98816,                0.67444,                 1.1602,                0.39808,                0.83605,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2053,                0.44801,                0.79727,                0.97894,                0.92949,                0.98841,                0.66686,                 1.1531,                0.37778,                0.83874,               0.000416,               0.000416,               0.000416
                     83,                 1.1587,                0.45502,                0.77663,                0.97889,                0.92765,                0.98821,                0.67259,                 1.1529,                0.38639,                0.83657,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1208,                0.45187,                0.79023,                 0.9789,                0.92796,                0.98659,                0.66837,                 1.1802,                0.38632,                0.83924,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1422,                0.45029,                0.78741,                0.97645,                   0.94,                 0.9874,                0.66311,                 1.1178,                0.36624,                0.83701,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1344,                0.46009,                0.77889,                 0.9687,                   0.92,                 0.9876,                0.66609,                 1.1469,                0.37564,                0.83618,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0952,                0.41275,                 0.7899,                0.97631,                   0.92,                0.98774,                0.67187,                 1.1624,                0.39467,                0.83544,               0.000317,               0.000317,               0.000317
                     88,                 1.0814,                0.42921,                0.78909,                0.97889,                 0.9273,                0.98818,                0.66258,                  1.111,                0.38316,                0.83563,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1242,                 0.4176,                0.78699,                0.93269,                   0.97,                0.98005,                 0.6631,                 1.1461,                0.37764,                0.83678,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1058,                0.44618,                0.78141,                0.97884,                0.92543,                0.98874,                0.65466,                 1.1412,                 0.3703,                0.83698,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0808,                0.41831,                0.79263,                0.96853,                0.92317,                0.98896,                 0.6646,                 1.1777,                0.39017,                0.83565,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1184,                0.42486,                0.77992,                0.96849,                 0.9222,                0.98344,                0.65642,                  1.182,                0.40026,                0.83782,               0.000218,               0.000218,               0.000218
                     93,                 1.0893,                0.41997,                0.78776,                0.96602,                   0.92,                0.98299,                0.64722,                 1.2485,                0.41202,                0.83826,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0646,                0.42549,                0.78068,                0.96867,                0.92752,                0.98807,                0.66039,                 1.1415,                  0.386,                0.83515,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.055,                 0.4446,                0.78134,                0.96872,                0.92919,                0.98904,                0.65881,                 1.1874,                0.39032,                 0.8341,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0329,                0.42987,                0.77798,                0.97893,                0.92943,                0.98967,                0.66472,                 1.1414,                0.37635,                0.83388,              0.0001388,              0.0001388,              0.0001388
                     97,                  1.059,                0.37582,                0.78331,                0.97891,                0.92827,                0.99097,                0.66718,                 1.1415,                0.37835,                 0.8341,               0.000119,               0.000119,               0.000119
                     98,                  1.067,                0.39912,                0.79309,                0.97892,                0.92873,                0.99085,                0.66889,                 1.1473,                0.38616,                 0.8345,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0835,                0.41847,                0.79413,                0.97888,                0.92713,                0.99018,                0.67795,                 1.1325,                0.37457,                0.83509,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0425,                0.40169,                0.78021,                0.97886,                0.92601,                0.98904,                0.67778,                 1.1227,                0.36874,                0.83563,               5.96e-05,               5.96e-05,               5.96e-05
