                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3605,                 2.5055,                 1.9382,                 1.4873,                0.32901,                0.94792,                0.70235,                0.42977,                0.22412,                0.66667,                 0.4053,                0.13403,                 1.2724,                 9.6476,                 19.593,                 1.5273,              0.0003334,              0.0003334,              0.0003334
                      2,                 1.1812,                 2.3255,                 1.2413,                  1.312,                0.07038,                0.43403,                0.08356,                0.04454,                0.06419,                0.39583,                0.07129,                0.03077,                 1.2945,                 6.4454,                 145.68,                  1.495,             0.00064964,             0.00064964,             0.00064964
                      3,                 1.2331,                 2.2319,                 1.2198,                 1.3531,                 0.0044,                0.32986,                0.00405,                0.00132,                0.00111,                0.08333,                0.00069,                0.00018,                 2.5336,                 29.171,                 3188.1,                  3.485,             0.00093122,             0.00093122,             0.00093122
                      4,                 1.2381,                 2.0535,                0.95504,                 1.3437,                0.50084,                 0.0625,                0.00049,                  9e-05,                0.50084,                 0.0625,                0.00049,                0.00011,                 3.8187,                 58.176,                 1736.5,                 7.6425,              0.0011781,              0.0011781,              0.0011781
                      5,                 1.2236,                 2.0888,                 1.0018,                 1.3368,                0.57365,                0.85069,                0.85778,                0.46168,                0.46539,                0.58596,                0.58571,                0.22716,                 1.5004,                 6.9249,                 6.3098,                 2.2032,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.2229,                 2.0519,                  1.039,                 1.3673,                0.46223,                 0.8782,                0.79562,                0.45288,                0.52934,                0.46875,                0.47115,                 0.2209,                 1.0768,                 3.1765,                 2.6296,                 1.3064,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.1506,                  1.955,                0.94425,                 1.2852,                0.81824,                 0.7287,                0.85266,                0.54884,                0.57173,                0.52894,                0.53344,                 0.2781,                 1.0643,                 4.0448,                 1.0524,                 1.2395,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.1458,                 1.8582,                0.87131,                  1.278,                0.60414,                0.78125,                0.63443,                0.29563,                0.51712,                0.64583,                0.48794,                0.15538,                 1.7482,                 4.6525,                 2.6342,                  1.906,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.0792,                 1.7609,                0.73241,                 1.2368,                0.97466,                0.89931,                0.97553,                0.65588,                 0.8421,                0.79002,                 0.7788,                0.45955,                0.98886,                  1.538,                 0.7326,                 1.2239,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.0856,                 1.7428,                0.69662,                 1.2449,                0.95682,                0.92667,                0.98044,                 0.6473,                0.74138,                0.79545,                0.78289,                0.46127,                0.88736,                 1.5183,                0.65758,                 1.1103,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.0554,                 1.7213,                0.62963,                 1.2422,                0.84557,                0.86111,                0.92075,                0.57728,                  0.638,                0.73232,                0.74742,                0.38113,                0.89593,                 2.4903,                0.85806,                  1.111,             0.00092435,             0.00092435,             0.00092435
                     12,                  1.023,                 1.6942,                0.58041,                 1.2143,                0.90354,                 0.8696,                0.96593,                 0.6707,                0.77845,                0.77296,                0.83266,                0.46207,                0.83235,                 1.5841,                0.62373,                 1.0784,             0.00084184,             0.00084184,             0.00084184
                     13,                0.98322,                 1.5911,                0.55253,                 1.1855,                 0.9331,                0.80814,                0.88137,                0.61535,                0.81501,                0.71795,                0.72156,                 0.3913,                 0.9899,                 2.0796,                0.96247,                 1.2046,             0.00075932,             0.00075932,             0.00075932
                     14,                0.97252,                 1.5634,                 0.5339,                 1.1765,                 0.9393,                0.92575,                0.98688,                0.70762,                0.83592,                0.83333,                0.83955,                0.48729,                0.78515,                 1.2875,                0.50407,                 1.0511,              0.0006768,              0.0006768,              0.0006768
                     15,                0.94321,                 1.4627,                0.50988,                   1.16,                0.96104,                0.90773,                0.95871,                0.63849,                0.84158,                 0.8125,                0.81798,                0.46453,                0.93034,                 1.3767,                0.59644,                 1.1508,             0.00059429,             0.00059429,             0.00059429
                     16,                0.92931,                 1.4581,                 0.4932,                 1.1555,                0.97055,                0.95139,                0.99099,                0.77312,                0.85373,                 0.7986,                0.82447,                0.49592,                 0.7172,                  1.145,                0.40839,                 1.0199,             0.00051177,             0.00051177,             0.00051177
                     17,                0.92498,                  1.434,                0.47497,                  1.156,                0.96926,                0.99167,                0.99473,                0.70279,                 0.8596,                0.77778,                0.82188,                0.46708,                0.80629,                 1.1832,                0.37957,                 1.0471,             0.00042925,             0.00042925,             0.00042925
                     18,                0.89648,                 1.3927,                0.44121,                 1.1197,                0.98399,                0.96848,                0.98672,                0.69296,                0.93695,                0.86956,                0.91032,                 0.5419,                0.77521,                 1.2282,                0.40107,                 1.0289,             0.00034674,             0.00034674,             0.00034674
                     19,                 0.8694,                 1.3889,                0.43138,                  1.115,                0.98538,                0.97222,                0.98691,                0.75343,                0.95413,                0.88889,                0.93102,                0.56489,                0.68627,                 1.0854,                0.35136,                0.98573,             0.00026422,             0.00026422,             0.00026422
                     20,                0.84521,                 1.3481,                0.42208,                 1.0993,                0.98889,                0.98611,                0.99125,                0.76437,                0.84148,                0.86111,                0.84927,                0.51576,                0.68866,                 1.0356,                0.33717,                0.98828,              0.0001817,              0.0001817,              0.0001817
