                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2709,                  5.548,                 4.0554,                 2.2555,                 0.0012,                 0.0625,                0.00078,                0.00033,                0.00058,                0.04167,                0.00044,                0.00027,                 2.6303,                 4.7935,                 3.9951,                 2.8373,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.4402,                 2.9882,                 2.9663,                  1.619,                0.08397,                0.83333,                0.11058,                0.07192,                0.07767,                0.76389,                0.10066,                0.04499,                 1.0254,                 2.9948,                    inf,                 1.3083,             0.00021599,             0.00021599,             0.00021599
                      3,                 1.0112,                 1.6618,                 1.2416,                 1.1736,                0.30882,                0.88889,                0.36002,                0.23868,                0.27735,                0.84028,                0.30555,                0.13417,                  1.305,                 3.9166,                    inf,                 1.5732,              0.0003312,              0.0003312,              0.0003312
                      4,                0.94777,                 1.6239,                0.98101,                 1.1802,                0.56359,                0.60417,                0.54349,                  0.356,                0.47333,                0.50694,                0.41647,                0.13902,                 1.2452,                   6.35,                 9.7538,                 1.4494,             0.00044563,             0.00044563,             0.00044563
                      5,                0.99064,                 1.6823,                 1.0983,                  1.146,                0.00595,                0.43056,                0.00581,                0.00218,                0.00019,                0.01389,                0.00011,                  2e-05,                    nan,                    nan,                    nan,                    nan,              0.0005593,              0.0005593,              0.0005593
                      6,                0.99559,                 1.6619,                0.95632,                  1.176,                  9e-05,                0.00694,                  5e-05,                      0,                  5e-05,                0.00347,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,             0.00067219,             0.00067219,             0.00067219
                      7,                0.97843,                 1.5423,                0.84553,                 1.1744,                  9e-05,                0.00694,                  5e-05,                      0,                  5e-05,                0.00347,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,             0.00078432,             0.00078432,             0.00078432
                      8,                 0.9238,                 1.6204,                 0.8423,                 1.1534,                  9e-05,                0.00694,                  5e-05,                      0,                  5e-05,                0.00347,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,             0.00089567,             0.00089567,             0.00089567
                      9,                 1.1118,                 1.7362,                0.84508,                 1.2518,                  9e-05,                0.00694,                  5e-05,                      0,                  5e-05,                0.00347,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010063,              0.0010063,              0.0010063
                     10,                 1.0949,                 1.6226,                0.87462,                 1.2235,                  9e-05,                0.00694,                  5e-05,                      0,                  5e-05,                0.00347,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,              0.0011161,              0.0011161,              0.0011161
                     11,                0.99477,                 1.6198,                0.93555,                 1.1692,                0.00237,                0.16319,                0.00189,                0.00028,                0.00096,                0.06597,                 0.0006,                  8e-05,                    nan,                    nan,                    nan,                    nan,              0.0012251,              0.0012251,              0.0012251
                     12,                 1.0228,                 2.0179,                0.89389,                 1.1881,                0.00237,                0.16319,                0.00189,                0.00028,                0.00096,                0.06597,                 0.0006,                  8e-05,                    nan,                    nan,                    nan,                    nan,              0.0013334,              0.0013334,              0.0013334
                     13,                0.97063,                 1.6803,                0.76353,                 1.1658,                0.01436,                0.13542,                0.00893,                0.00312,                0.00773,                0.07292,                0.00377,                0.00132,                 3.1435,                 136.21,                 137.74,                 8.6394,              0.0014409,              0.0014409,              0.0014409
                     14,                 1.1294,                 1.9479,                 0.8796,                 1.2627,                0.50487,                0.06944,                0.00196,                0.00033,                0.50365,                0.05208,                 0.0013,                0.00021,                 4.6343,                 335.19,                    inf,                  28.05,              0.0015476,              0.0015476,              0.0015476
                     15,                 1.1857,                 1.8273,                0.84459,                 1.3165,                0.40913,                0.42014,                0.33914,                0.17186,                0.37786,                0.36806,                0.31525,                0.11378,                 2.6098,                 122.86,                 11.846,                 5.2111,                0.00159,                0.00159,                0.00159
                     16,                 1.0998,                 1.6832,                0.78996,                 1.2482,                0.49371,                0.35417,                0.30888,                0.15996,                 0.4567,                0.22569,                0.28992,                0.14037,                 3.3651,                 79.241,                    inf,                 12.829,                0.00159,                0.00159,                0.00159
                     17,                0.99653,                 1.5274,                0.74546,                 1.1629,                0.36075,                 0.4505,                0.26414,                0.12795,                0.33953,                0.35508,                0.23272,                0.11071,                   3.29,                 22.075,                    inf,                 6.7399,              0.0015845,              0.0015845,              0.0015845
                     18,                 1.0196,                 1.7011,                0.74305,                 1.1756,                0.71864,                0.20139,                0.19785,                0.09985,                0.62044,                0.11806,                0.06892,                0.02885,                 1.8893,                  10.26,                 4.3406,                 2.0314,               0.001579,               0.001579,               0.001579
                     19,                 1.0094,                 1.4024,                0.68933,                 1.1945,                0.75584,                0.83025,                0.88026,                0.53795,                0.70079,                 0.7527,                0.79358,                0.35106,                 1.1402,                 5.6054,                  2.316,                 1.3917,              0.0015735,              0.0015735,              0.0015735
                     20,                 1.0393,                 1.5434,                0.74229,                 1.2138,                0.87777,                0.82504,                0.92169,                0.50697,                0.82826,                0.77185,                0.83258,                0.37908,                 1.1849,                 4.5775,                  1.073,                 1.4357,               0.001568,               0.001568,               0.001568
                     21,                 1.0011,                 1.5004,                0.76218,                 1.1415,                0.50262,                0.48611,                0.49564,                0.26086,                0.44604,                0.40278,                0.34568,                0.15214,                 1.2838,                 8.6922,                 2.4098,                 1.5685,              0.0015625,              0.0015625,              0.0015625
                     22,                 1.0119,                 1.5868,                0.73564,                 1.1485,                0.31355,                0.28125,                0.33013,                0.18117,                0.77153,                0.23264,                 0.2777,                 0.1292,                 1.5824,                 7.6944,                 2.8342,                 1.9977,               0.001557,               0.001557,               0.001557
                     23,                0.99268,                 1.6515,                0.75361,                 1.1646,                0.29688,                0.26736,                0.26605,                0.13171,                0.18585,                0.17014,                0.14054,                0.06721,                 1.9107,                 48.786,                 2.4127,                 2.1585,              0.0015515,              0.0015515,              0.0015515
                     24,                0.95348,                 1.4912,                0.72223,                 1.1496,                 0.7772,                0.66711,                0.74383,                0.38332,                0.68088,                0.53887,                0.56136,                0.26394,                 1.0636,                 7.4092,                 1.8819,                 1.2676,               0.001546,               0.001546,               0.001546
                     25,                0.97479,                 1.4634,                0.65858,                 1.1553,                0.89282,                0.75838,                0.89502,                0.46972,                 0.8047,                0.68073,                0.75132,                0.32913,                 1.3882,                 5.1105,                 1.5695,                 1.5542,              0.0015405,              0.0015405,              0.0015405
                     26,                0.97466,                 1.4287,                0.67929,                 1.1318,                0.86689,                0.76242,                0.92197,                0.53251,                0.75918,                0.68177,                0.76677,                0.36933,                 1.0124,                 4.4274,                 1.4853,                  1.216,               0.001535,               0.001535,               0.001535
                     27,                0.92836,                 1.2816,                0.61838,                 1.1265,                0.83702,                0.89897,                 0.9103,                0.59265,                0.71449,                0.82639,                 0.7414,                0.39254,                0.97499,                 2.2203,                 2.1987,                 1.2653,              0.0015295,              0.0015295,              0.0015295
                     28,                0.87412,                 1.3422,                0.65747,                 1.1005,                 0.9391,                0.81195,                0.88429,                0.59116,                0.87622,                0.75729,                0.77887,                0.39071,                 1.1174,                 2.9746,                  1.094,                 1.3574,               0.001524,               0.001524,               0.001524
                     29,                0.85684,                 1.2757,                0.58399,                 1.0801,                0.95215,                0.94718,                0.98668,                0.69303,                0.87704,                0.87406,                0.87193,                0.45652,                0.89612,                  2.126,                0.76539,                 1.1823,              0.0015185,              0.0015185,              0.0015185
                     30,                0.89198,                 1.3413,                0.62242,                 1.1156,                0.96427,                0.91319,                0.97421,                0.63304,                   0.82,                0.76389,                0.75129,                0.36616,                 1.2091,                 2.3221,                0.72651,                  1.442,               0.001513,               0.001513,               0.001513
                     31,                 1.0164,                 1.5551,                0.71174,                 1.1821,                0.96721,                0.93092,                0.98268,                0.69205,                0.87836,                0.84578,                0.84915,                0.49354,                0.96723,                 1.6593,                0.76302,                  1.179,              0.0015075,              0.0015075,              0.0015075
