                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4749,                 2.8825,                 2.3263,                 1.4719,                0.96925,                0.95939,                0.98389,                0.68152,                0.96668,                0.95685,                0.97727,                0.63163,                0.94945,                 1.5284,                 1.1853,                 1.0252,                0.00042,                0.00042,                0.00042
                      2,                0.96621,                  1.393,                0.73418,                 1.0289,                0.91512,                0.87563,                0.90856,                0.56872,                0.90981,                0.87056,                0.90039,                0.48367,                   1.07,                 3.5898,                 4.7082,                 1.1277,             0.00085149,             0.00085149,             0.00085149
                      3,                0.98982,                 1.3599,                0.70918,                 1.0435,                0.53097,                0.49492,                0.42616,                0.26299,                0.53097,                0.49492,                0.42175,                0.22531,                 1.5015,                 3.2977,                 2.1918,                 1.2742,              0.0012743,              0.0012743,              0.0012743
                      4,                0.95642,                 1.3404,                0.67718,                 1.0295,                0.64132,                0.88325,                0.77287,                0.52392,                0.62181,                0.85533,                0.72981,                0.44225,                0.99916,                 3.3193,                 2.2932,                 1.0464,              0.0016883,              0.0016883,              0.0016883
                      5,                0.97443,                 1.2816,                0.75003,                 1.0211,                0.92602,                0.92386,                0.96341,                0.63135,                0.93205,                0.88832,                 0.9167,                0.53045,                 1.1111,                 3.2237,                 1.0208,                 1.1109,              0.0019208,              0.0019208,              0.0019208
                      6,                0.99395,                 1.2602,                0.70177,                 1.0353,                0.00656,                0.36802,                0.00439,                0.00271,                0.00645,                0.36041,                0.00432,                0.00231,                 1.7816,                 3.5806,                 32.547,                 1.4119,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0044,                 1.2401,                0.65514,                 1.0588,                0.94007,                0.95549,                0.98298,                0.69875,                0.94007,                0.95549,                0.98298,                0.66815,                0.92236,                 1.2742,                 1.1773,                 1.0484,               0.001901,               0.001901,               0.001901
                      8,                0.91861,                 1.1877,                0.57326,                 1.0265,                 0.9834,                0.99239,                  0.994,                0.70609,                 0.9834,                0.99239,                  0.994,                0.72022,                0.98203,                 1.2333,                0.98599,                 1.0598,              0.0018812,              0.0018812,              0.0018812
                      9,                0.95393,                 1.2532,                0.57497,                   1.02,                0.98387,                0.96954,                 0.9931,                0.72723,                0.98266,                0.96701,                0.98513,                0.69776,                0.86973,                 1.3262,                0.67827,                  0.996,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.8675,                 1.1386,                0.55941,                 1.0082,                0.90624,                  0.785,                0.88627,                 0.5985,                0.90871,                0.78426,                0.87772,                0.55902,                 1.1555,                 1.8415,                0.83533,                  1.143,              0.0018416,              0.0018416,              0.0018416
                     11,                0.85353,                 1.1362,                 0.5464,                0.99851,                0.72783,                0.76396,                0.75701,                0.47365,                0.73296,                0.65483,                0.65811,                 0.3247,                 1.1718,                 3.9914,                  1.063,                 1.1522,              0.0018218,              0.0018218,              0.0018218
                     12,                0.86208,                 1.0925,                0.51346,                 1.0001,                0.89944,                0.88832,                0.94703,                0.70695,                0.91251,                0.86802,                0.92387,                0.63226,                0.89419,                 1.8965,                0.65049,                 1.0146,               0.001802,               0.001802,               0.001802
                     13,                0.84204,                 1.0832,                0.49748,                 0.9997,                0.95499,                0.96941,                0.99061,                0.75497,                0.95499,                0.96941,                0.99061,                0.71771,                0.80437,                 1.0581,                 0.5139,                0.98234,              0.0017822,              0.0017822,              0.0017822
                     14,                0.81996,                 1.0787,                0.49567,                0.98132,                 0.9898,                0.98563,                0.99314,                0.74986,                 0.9898,                0.98563,                0.99314,                0.72647,                0.80187,                0.99361,                0.49738,                 1.0048,              0.0017624,              0.0017624,              0.0017624
                     15,                0.81057,                 1.0433,                0.46589,                0.98069,                 0.9965,                 0.9797,                 0.9926,                0.77082,                 0.9965,                 0.9797,                 0.9926,                0.74436,                0.81277,                 1.0272,                0.44321,                 0.9983,              0.0017426,              0.0017426,              0.0017426
                     16,                0.87858,                 1.1167,                0.48186,                 1.0103,                0.99097,                0.99492,                0.99495,                0.75599,                0.99097,                0.99492,                0.99495,                0.73666,                 0.8599,                0.99973,                 0.4723,                 1.0092,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.8759,                 1.0805,                0.47216,                  1.013,                0.99907,                0.99746,                  0.995,                0.76294,                0.99907,                0.99746,                  0.995,                0.73148,                0.81116,                0.94554,                0.39925,                0.98531,               0.001703,               0.001703,               0.001703
                     18,                0.82202,                  1.016,                0.45594,                 0.9775,                 0.9949,                0.98932,                0.99482,                0.78406,                 0.9949,                0.98932,                0.99482,                0.75013,                0.77666,                 1.0071,                0.46308,                0.97496,              0.0016832,              0.0016832,              0.0016832
                     19,                0.79276,                 1.0182,                0.45898,                0.97782,                0.99473,                0.99746,                0.99485,                0.79736,                0.99473,                0.99746,                0.99485,                0.76364,                0.79297,                 1.0089,                0.42645,                0.98684,              0.0016634,              0.0016634,              0.0016634
                     20,                0.78409,                 1.0155,                0.44709,                0.97326,                0.99657,                0.99492,                 0.9949,                0.77321,                0.99657,                0.99492,                 0.9949,                0.75359,                0.78851,                0.96976,                0.47257,                 1.0131,              0.0016436,              0.0016436,              0.0016436
                     21,                0.75899,                0.95992,                0.42661,                 0.9658,                0.99196,                0.99746,                0.99485,                0.78704,                0.99363,                0.99746,                0.99497,                0.76204,                0.77824,                0.91252,                0.44691,                0.99019,              0.0016238,              0.0016238,              0.0016238
                     22,                0.75554,                0.96829,                0.42679,                0.96497,                0.99716,                0.99746,                0.99497,                0.78702,                0.99716,                0.99746,                0.99497,                0.74969,                0.76607,                0.93585,                0.39695,                0.98491,               0.001604,               0.001604,               0.001604
                     23,                0.75649,                0.97567,                0.42728,                0.96802,                0.99705,                0.99746,                  0.995,                0.79619,                0.99705,                0.99746,                  0.995,                0.77831,                0.74762,                0.89775,                0.40351,                0.96918,              0.0015842,              0.0015842,              0.0015842
                     24,                0.74643,                0.97828,                0.41586,                0.95916,                0.98982,                0.98724,                0.99455,                0.79704,                0.98982,                0.98724,                0.99455,                0.76351,                0.80925,                0.92918,                0.40603,                 0.9953,              0.0015644,              0.0015644,              0.0015644
                     25,                0.77249,                 1.0006,                0.41887,                0.96377,                0.99737,                0.99492,                  0.995,                0.79482,                  0.997,                0.99746,                  0.995,                0.76581,                  0.736,                0.97594,                0.38955,                0.96029,              0.0015446,              0.0015446,              0.0015446
                     26,                  0.747,                0.93507,                0.41104,                0.95321,                0.99242,                0.99746,                 0.9948,                0.79931,                0.99242,                0.99746,                 0.9948,                0.76599,                0.74696,                0.89297,                0.43052,                  0.965,              0.0015248,              0.0015248,              0.0015248
                     27,                0.70807,                0.90771,                0.38965,                0.94425,                0.99203,                0.99746,                 0.9948,                0.80773,                0.99203,                0.99746,                 0.9948,                 0.7705,                0.73317,                0.89258,                0.38601,                0.94649,               0.001505,               0.001505,               0.001505
                     28,                0.72784,                0.91677,                0.39984,                0.94469,                0.99475,                0.99746,                0.99497,                0.78847,                0.99475,                0.99746,                0.99497,                0.76309,                 0.7498,                0.96537,                0.39125,                0.97181,              0.0014852,              0.0014852,              0.0014852
                     29,                0.73193,                0.93901,                0.38748,                0.95303,                0.99966,                0.99746,                  0.995,                0.80191,                0.99966,                0.99746,                  0.995,                 0.7719,                0.71739,                0.86999,                 0.3583,                0.96164,              0.0014654,              0.0014654,              0.0014654
                     30,                0.72241,                0.94873,                0.38542,                0.94441,                0.98542,                0.99746,                0.99472,                0.79649,                0.98542,                0.99746,                0.99472,                0.77241,                0.71704,                0.89528,                 0.4022,                0.96326,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.7085,                0.94246,                0.38863,                0.94422,                 0.9998,                0.99746,                  0.995,                0.80872,                 0.9998,                0.99746,                  0.995,                0.77847,                0.73901,                0.90263,                0.36957,                0.96782,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.7157,                 0.9208,                0.37444,                0.94693,                0.99649,                0.99746,                  0.995,                 0.7948,                0.99649,                0.99746,                  0.995,                0.76201,                0.74222,                0.94382,                0.35799,                0.98261,               0.001406,               0.001406,               0.001406
                     33,                0.73161,                0.95801,                0.39436,                0.94994,                0.99668,                0.99746,                0.99492,                0.78967,                0.99668,                0.99746,                0.99492,                  0.758,                0.74763,                0.89826,                0.36811,                0.97997,              0.0013862,              0.0013862,              0.0013862
                     34,                0.69198,                0.89311,                0.37502,                0.93627,                0.99726,                0.99746,                  0.995,                0.79111,                0.99726,                0.99746,                  0.995,                0.76983,                0.77248,                 0.9059,                0.36779,                0.98022,              0.0013664,              0.0013664,              0.0013664
                     35,                0.67721,                0.90402,                0.37159,                0.93283,                0.99959,                0.99746,                  0.995,                 0.8119,                0.99959,                0.99746,                  0.995,                0.77944,                0.71783,                0.86116,                0.35755,                0.96193,              0.0013466,              0.0013466,              0.0013466
                     36,                0.70291,                0.89691,                0.37359,                0.94023,                0.98189,                0.99239,                0.99388,                0.79082,                0.97938,                0.98985,                0.99369,                0.74836,                0.75591,                0.91664,                0.39233,                0.97236,              0.0013268,              0.0013268,              0.0013268
                     37,                0.69503,                0.89781,                0.36364,                0.94209,                0.97814,                0.95431,                0.98589,                0.80748,                0.97814,                0.95431,                0.98722,                 0.7617,                 0.7221,                 1.0165,                0.44509,                0.96361,               0.001307,               0.001307,               0.001307
                     38,                 0.7169,                0.95342,                0.38793,                0.94481,                0.99972,                0.99746,                  0.995,                0.80555,                0.99972,                0.99746,                  0.995,                0.78895,                0.76238,                0.94506,                0.36757,                0.97957,              0.0012872,              0.0012872,              0.0012872
                     39,                0.70874,                0.92766,                0.36609,                0.94572,                0.99978,                0.99746,                  0.995,                0.80439,                0.99978,                0.99746,                  0.995,                0.78261,                0.76176,                 0.9581,                0.36103,                0.98317,              0.0012674,              0.0012674,              0.0012674
                     40,                0.70292,                0.92463,                 0.3607,                0.94664,                0.99981,                0.99746,                  0.995,                0.80564,                0.99981,                0.99746,                  0.995,                0.76496,                0.76215,                0.89734,                0.35849,                0.98734,              0.0012476,              0.0012476,              0.0012476
                     41,                0.67493,                0.88551,                0.35916,                0.93279,                0.99963,                0.99746,                  0.995,                0.82073,                0.99963,                0.99746,                  0.995,                0.79054,                0.72456,                0.85362,                0.35753,                0.96491,              0.0012278,              0.0012278,              0.0012278
                     42,                0.67365,                0.87491,                0.35192,                0.93004,                0.99964,                0.99746,                  0.995,                0.82068,                0.99964,                0.99746,                  0.995,                0.78891,                0.72721,                0.86584,                0.34258,                0.97131,               0.001208,               0.001208,               0.001208
                     43,                0.64766,                0.85259,                0.35403,                0.91649,                0.98236,                0.99746,                0.99435,                0.80821,                0.98236,                0.99746,                0.99435,                0.76416,                0.71187,                0.86198,                0.36966,                0.96748,              0.0011882,              0.0011882,              0.0011882
                     44,                0.65813,                0.86912,                0.34931,                 0.9342,                0.99988,                0.99746,                  0.995,                0.81212,                0.99734,                0.99492,                0.99426,                0.77994,                 0.7244,                0.89297,                0.32899,                0.96714,              0.0011684,              0.0011684,              0.0011684
                     45,                0.65102,                0.85729,                 0.3501,                0.91693,                0.99746,                0.99723,                  0.995,                0.83439,                0.99746,                0.99723,                  0.995,                0.79099,                0.69682,                0.86912,                0.34314,                0.94663,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.6526,                0.86415,                  0.343,                0.92122,                0.99194,                0.99492,                0.99411,                0.83347,                0.99194,                0.99492,                0.99411,                0.81141,                0.75847,                0.90065,                0.35227,                0.97471,              0.0011288,              0.0011288,              0.0011288
                     47,                0.66413,                0.85558,                 0.3561,                0.92786,                0.99977,                0.99746,                  0.995,                0.83833,                0.99977,                0.99746,                  0.995,                0.80018,                0.72771,                 0.8802,                0.34698,                0.97006,               0.001109,               0.001109,               0.001109
                     48,                0.65119,                0.85066,                0.35041,                0.92289,                      1,                0.99731,                  0.995,                0.81508,                0.99746,                0.99477,                0.99487,                0.77532,                0.72278,                0.90221,                0.34594,                0.96648,              0.0010892,              0.0010892,              0.0010892
                     49,                0.63399,                0.84592,                0.34955,                0.90981,                0.99976,                0.99746,                  0.995,                0.83007,                0.99976,                0.99746,                  0.995,                 0.7865,                0.69561,                0.84798,                0.33217,                0.95481,              0.0010694,              0.0010694,              0.0010694
                     50,                0.62713,                0.82429,                0.34181,                0.91391,                0.99697,                0.99746,                  0.995,                0.82749,                0.99443,                0.99492,                0.99393,                0.79299,                0.70513,                0.83989,                0.34676,                0.95489,              0.0010496,              0.0010496,              0.0010496
                     51,                  0.635,                0.82224,                0.33964,                0.92043,                0.99972,                0.99746,                  0.995,                0.83054,                0.99718,                0.99492,                0.99475,                0.78796,                0.68354,                0.87014,                 0.3442,                0.95429,              0.0010298,              0.0010298,              0.0010298
                     52,                0.63708,                 0.8173,                0.32788,                0.90701,                      1,                0.99741,                  0.995,                0.83408,                      1,                0.99741,                  0.995,                 0.7975,                0.70431,                0.83961,                 0.3593,                0.96288,                0.00101,                0.00101,                0.00101
                     53,                0.62335,                0.80591,                0.32698,                0.91343,                0.99964,                0.99746,                  0.995,                0.83297,                0.99964,                0.99746,                  0.995,                0.79837,                0.73639,                0.83727,                0.33939,                0.97364,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.6343,                0.83345,                0.33089,                0.91649,                0.99979,                0.99746,                  0.995,                0.84558,                0.99979,                0.99746,                  0.995,                0.81489,                0.70153,                0.82766,                0.32219,                0.94744,              0.0009704,              0.0009704,              0.0009704
                     55,                0.62335,                0.81045,                 0.3213,                0.91507,                 0.9998,                0.99746,                  0.995,                0.84043,                 0.9998,                0.99746,                  0.995,                0.80913,                0.72413,                0.85981,                0.33299,                0.95022,              0.0009506,              0.0009506,              0.0009506
                     56,                0.61233,                0.81825,                0.32527,                0.91013,                 0.9998,                0.99746,                  0.995,                0.84247,                 0.9998,                0.99746,                  0.995,                0.80412,                0.68547,                0.83229,                 0.3047,                0.94681,              0.0009308,              0.0009308,              0.0009308
                     57,                0.62092,                0.79119,                0.32422,                0.91145,                0.99979,                0.99746,                  0.995,                 0.8306,                0.99979,                0.99746,                  0.995,                 0.7953,                0.71309,                0.85204,                0.32951,                0.95942,               0.000911,               0.000911,               0.000911
                     58,                0.60555,                0.77406,                0.32193,                0.90494,                0.99982,                0.99746,                  0.995,                0.84498,                0.99982,                0.99746,                  0.995,                0.80061,                0.67578,                0.84955,                0.30465,                0.93701,              0.0008912,              0.0008912,              0.0008912
                     59,                0.60555,                 0.8167,                0.31685,                0.90163,                0.99981,                0.99746,                  0.995,                0.82751,                0.99981,                0.99746,                  0.995,                0.80268,                0.74042,                0.85694,                0.32038,                 0.9808,              0.0008714,              0.0008714,              0.0008714
                     60,                0.61095,                0.80983,                0.31279,                0.90485,                 0.9996,                0.99746,                  0.995,                0.83318,                0.99706,                0.99492,                0.99452,                 0.7883,                0.67324,                0.84801,                0.31218,                 0.9502,              0.0008516,              0.0008516,              0.0008516
                     61,                0.60289,                0.81993,                0.31223,                0.90389,                0.99979,                0.99746,                  0.995,                0.83385,                0.99979,                0.99746,                  0.995,                0.78281,                0.66749,                0.87882,                0.31294,                0.94051,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.6003,                0.79035,                0.31218,                0.90909,                0.99979,                0.99746,                  0.995,                0.83926,                0.99725,                0.99492,                0.99391,                0.79177,                0.69956,                0.83721,                0.31303,                0.94944,               0.000812,               0.000812,               0.000812
                     63,                0.59275,                0.76813,                0.30964,                0.90075,                 0.9973,                0.99746,                  0.995,                0.84859,                0.99477,                0.99492,                0.99403,                  0.808,                0.68595,                0.82571,                0.31441,                0.93941,              0.0007922,              0.0007922,              0.0007922
                     64,                0.58552,                 0.7917,                 0.3092,                0.90113,                0.99961,                0.99746,                  0.995,                0.83885,                0.99961,                0.99746,                  0.995,                0.79277,                0.70046,                0.87103,                 0.3165,                 0.9495,              0.0007724,              0.0007724,              0.0007724
                     65,                0.58077,                0.76284,                0.30488,                0.89179,                0.99981,                0.99746,                  0.995,                0.84257,                0.99981,                0.99746,                  0.995,                0.80544,                0.69427,                0.84192,                0.30733,                0.94301,              0.0007526,              0.0007526,              0.0007526
                     66,                0.56535,                0.75857,                0.29788,                0.88865,                0.99977,                0.99746,                  0.995,                0.84431,                0.99977,                0.99746,                  0.995,                0.81037,                0.70817,                 0.8614,                0.29859,                0.96269,              0.0007328,              0.0007328,              0.0007328
                     67,                0.57636,                0.75805,                0.29695,                0.89688,                      1,                0.99982,                  0.995,                0.84408,                      1,                0.99982,                  0.995,                0.80839,                0.69855,                0.84601,                0.29791,                0.95957,               0.000713,               0.000713,               0.000713
                     68,                0.55486,                0.74952,                0.28591,                0.88474,                      1,                0.99987,                  0.995,                0.84545,                      1,                0.99987,                  0.995,                0.80288,                0.68991,                 0.8658,                0.29687,                0.94152,              0.0006932,              0.0006932,              0.0006932
                     69,                0.56227,                0.74206,                0.29257,                0.89186,                      1,                0.99985,                  0.995,                0.84736,                      1,                0.99985,                  0.995,                0.80525,                0.69066,                0.89466,                0.28976,                0.94803,              0.0006734,              0.0006734,              0.0006734
