                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4326,                   2.67,                 1.9608,                 1.5064,                0.58218,                0.61806,                0.60386,                0.42062,                0.53696,                0.53841,                0.50342,                 0.2962,                 1.1164,                 2.3183,                  4.183,                 1.4895,              0.0003334,              0.0003334,              0.0003334
                      2,                 1.1986,                 1.9723,                 1.0662,                 1.2309,                0.57791,                0.74653,                0.61809,                0.43472,                0.55444,                0.69097,                0.56179,                0.30879,                 1.0298,                 2.9792,                 3.5437,                 1.2488,              0.0006767,              0.0006767,              0.0006767
                      3,                  1.232,                 2.0969,                0.96176,                 1.1915,                0.63027,                 0.5625,                0.63509,                0.35543,                0.42094,                0.39583,                0.35165,                0.12701,                 1.8851,                 6.8808,                 4.6899,                 2.0393,              0.0010131,              0.0010131,              0.0010131
                      4,                  1.215,                 1.9341,                0.86867,                 1.1952,                0.53828,                0.42195,                0.40773,                 0.1374,                0.45686,                0.39236,                0.35343,                0.10326,                 3.4114,                 4.6196,                 3.4251,                 3.2874,              0.0013425,              0.0013425,              0.0013425
                      5,                 1.1893,                 1.9655,                0.87535,                 1.2033,                0.51444,                 0.8683,                0.81331,                0.49745,                0.42901,                0.77001,                0.65882,                0.23933,                  1.179,                 3.4996,                 3.9362,                 1.4746,               0.001601,               0.001601,               0.001601
                      6,                 1.2046,                 2.0314,                0.99677,                 1.2341,                 0.8661,                0.87847,                0.90885,                0.52316,                0.78573,                 0.7966,                0.77309,                0.36565,                 1.1407,                 3.3773,                 1.7971,                 1.4064,               0.001601,               0.001601,               0.001601
                      7,                 1.1506,                 1.9588,                0.90449,                 1.1691,                 0.7972,                0.89239,                 0.9657,                0.62475,                0.72527,                0.83506,                0.85458,                0.48229,                0.90971,                 2.0567,                 2.2845,                 1.2146,              0.0015845,              0.0015845,              0.0015845
                      8,                  1.182,                 1.8848,                0.85881,                 1.1911,                  0.358,                0.81464,                0.68911,                0.35114,                0.86233,                0.37153,                0.49084,                0.20504,                 1.5737,                 4.0164,                 2.6442,                 1.4937,               0.001568,               0.001568,               0.001568
                      9,                 1.1225,                   1.78,                 0.7426,                 1.1378,                0.97531,                0.86244,                0.95541,                0.55254,                0.89018,                 0.8125,                 0.8825,                0.50132,                0.99039,                 1.8437,                0.81048,                 1.1772,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1143,                 1.7559,                0.74122,                 1.1484,                0.76527,                0.73245,                0.80583,                0.38903,                0.62282,                0.59102,                0.60433,                 0.2153,                 1.7129,                 4.6818,                 1.5583,                 1.6799,               0.001535,               0.001535,               0.001535
                     11,                 1.1378,                  1.859,                0.73592,                 1.1555,                0.95192,                0.89931,                0.96011,                 0.6504,                0.84757,                0.81597,                0.83989,                0.48748,                 1.0383,                 1.5875,                0.63884,                 1.2617,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1223,                  1.826,                0.72233,                 1.1571,                0.85551,                0.92032,                 0.9773,                0.63664,                 0.8286,                0.84451,                0.88612,                0.50087,                0.86363,                  1.597,                0.70607,                  1.103,               0.001502,               0.001502,               0.001502
                     13,                 1.0373,                 1.7382,                0.65165,                 1.1168,                0.89466,                0.89373,                0.95457,                 0.6133,                0.77426,                0.78819,                0.83251,                0.45874,                0.97554,                 1.7518,                0.70387,                 1.2087,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0673,                 1.6637,                0.63799,                   1.11,                0.96586,                0.94532,                 0.9893,                0.68119,                0.91371,                0.88889,                0.90767,                0.51841,                0.88412,                 1.2673,                0.51492,                 1.1142,               0.001469,               0.001469,               0.001469
                     15,                  1.031,                 1.5995,                0.62223,                  1.083,                0.97698,                0.96067,                0.98618,                0.67164,                0.91625,                0.90482,                0.89823,                0.51623,                 0.8301,                 1.3419,                0.43492,                 1.0629,              0.0014525,              0.0014525,              0.0014525
                     16,                0.99976,                 1.5912,                0.59494,                 1.0898,                0.93005,                0.93535,                0.98515,                 0.7014,                0.87494,                0.85417,                0.90154,                0.49998,                0.83873,                  1.327,                  0.484,                 1.0921,               0.001436,               0.001436,               0.001436
                     17,                 1.0292,                 1.6821,                0.63722,                 1.0932,                0.97584,                0.92686,                0.99217,                0.70413,                0.92631,                  0.875,                0.91414,                0.50914,                0.88213,                 1.2612,                0.53406,                 1.0909,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0379,                 1.6053,                 0.5985,                  1.088,                 0.9489,                0.95095,                0.98539,                0.56841,                0.93271,                0.93713,                0.97338,                0.60927,                0.97717,                 1.4242,                0.50226,                 1.1272,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0264,                 1.5319,                0.60233,                 1.0962,                0.94824,                0.96047,                0.98391,                0.71331,                0.85893,                0.87724,                0.88443,                0.51304,                0.71859,                 1.3447,                0.44694,                 1.0138,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0021,                 1.6121,                0.61359,                 1.0864,                0.93219,                0.95578,                0.99191,                0.74888,                0.85697,                0.83305,                0.84438,                 0.5024,                0.72064,                 1.2002,                0.46402,                 1.0436,              0.0013699,              0.0013699,              0.0013699
                     21,                0.98015,                 1.5229,                 0.5508,                 1.0578,                0.98947,                0.91991,                0.96866,                0.67597,                 0.7901,                0.84861,                0.79411,                0.46921,                0.74373,                 1.2898,                 0.4571,                 1.0329,              0.0013534,              0.0013534,              0.0013534
                     22,                0.99488,                 1.5873,                0.58301,                 1.0822,                0.98753,                0.95749,                0.98018,                0.73246,                0.90063,                0.90278,                0.87945,                0.51372,                 0.7759,                  1.203,                0.43689,                 1.0401,              0.0013369,              0.0013369,              0.0013369
                     23,                0.95135,                 1.4727,                0.56083,                 1.0689,                0.98401,                0.96841,                0.98285,                0.74613,                0.83597,                0.83044,                0.81253,                0.51575,                0.75066,                 1.1238,                0.39434,                 1.0618,              0.0013204,              0.0013204,              0.0013204
                     24,                 0.9636,                 1.4976,                0.55025,                 1.0816,                0.98823,                0.97995,                0.99121,                0.72258,                0.90173,                0.89935,                0.89218,                0.53185,                0.73861,                 1.2438,                0.38593,                 1.0353,              0.0013039,              0.0013039,              0.0013039
                     25,                0.99557,                 1.6041,                 0.5559,                 1.0722,                0.98919,                 0.9657,                0.98449,                0.72319,                0.88195,                0.84722,                0.85715,                0.54011,                0.77082,                 1.2004,                0.38745,                 1.0597,              0.0012874,              0.0012874,              0.0012874
                     26,                0.98552,                 1.4963,                0.56072,                  1.076,                0.98274,                0.97222,                0.98171,                0.73599,                0.86521,                0.86111,                0.87248,                  0.551,                0.75295,                 1.2366,                0.43658,                 1.0125,              0.0012709,              0.0012709,              0.0012709
                     27,                0.90611,                 1.4356,                0.50226,                 1.0469,                0.98617,                0.97222,                0.98469,                 0.7566,                0.86641,                0.86111,                0.83121,                 0.5067,                0.78389,                 1.3128,                0.38356,                 1.0399,              0.0012544,              0.0012544,              0.0012544
                     28,                0.95775,                 1.4874,                0.52409,                 1.0518,                0.98009,                0.98264,                0.98896,                0.72553,                0.94293,                0.91534,                0.95268,                0.51179,                0.78827,                 1.2917,                0.41166,                 1.0431,              0.0012379,              0.0012379,              0.0012379
                     29,                  0.973,                 1.5318,                0.54092,                  1.062,                0.98593,                0.98387,                0.98869,                0.76403,                0.85678,                0.85997,                0.83607,                0.51886,                 0.7513,                 1.2673,                0.37575,                 1.0447,              0.0012214,              0.0012214,              0.0012214
                     30,                0.96947,                 1.5252,                0.53483,                 1.0732,                0.97134,                 0.9419,                0.98535,                0.75763,                0.87598,                0.90204,                0.90116,                0.54805,                0.83706,                 1.4928,                0.44218,                 1.1202,              0.0012049,              0.0012049,              0.0012049
                     31,                0.92927,                 1.4801,                0.51236,                 1.0519,                0.99179,                0.98264,                0.98707,                0.72173,                0.94919,                0.94097,                0.95277,                0.57939,                0.73489,                 1.1481,                  0.394,                 1.0249,              0.0011884,              0.0011884,              0.0011884
                     32,                0.92596,                 1.4589,                0.52329,                 1.0465,                0.98744,                0.97887,                0.98123,                0.71687,                0.89468,                0.89029,                0.90268,                0.53607,                 0.7363,                 1.1584,                0.41708,                 1.0311,              0.0011719,              0.0011719,              0.0011719
                     33,                 0.9526,                 1.4594,                0.53494,                 1.0523,                0.98221,                0.97912,                0.98702,                0.73338,                0.91056,                0.91286,                0.92657,                0.55099,                0.68937,                 1.1949,                0.39831,                 1.0105,              0.0011554,              0.0011554,              0.0011554
                     34,                0.87783,                 1.4096,                0.48334,                 1.0306,                0.98202,                0.98611,                0.99202,                0.75624,                0.88544,                0.89898,                0.88245,                0.51765,                0.66538,                 1.1271,                0.37534,                0.99877,              0.0011389,              0.0011389,              0.0011389
                     35,                0.89689,                 1.4234,                 0.4893,                 1.0479,                0.98645,                0.97138,                0.99328,                0.74801,                0.89553,                0.93799,                0.89405,                0.53646,                0.73907,                 1.1429,                0.35423,                 1.0437,              0.0011224,              0.0011224,              0.0011224
                     36,                0.88602,                 1.3735,                0.48271,                 1.0199,                0.96295,                0.97222,                 0.9868,                0.74485,                0.89115,                  0.875,                 0.8864,                0.55748,                0.65705,                  1.033,                0.34465,                0.97225,              0.0011059,              0.0011059,              0.0011059
                     37,                0.89387,                 1.4346,                0.48603,                 1.0378,                0.98731,                0.98611,                0.99383,                0.71674,                0.80281,                0.80556,                0.79294,                0.49089,                0.69983,                 1.0858,                0.34845,                0.98095,              0.0010894,              0.0010894,              0.0010894
                     38,                0.88976,                 1.4091,                0.46948,                 1.0344,                0.94417,                0.97978,                0.98554,                0.75946,                0.84453,                0.88889,                0.87828,                 0.5242,                0.66999,                 1.1776,                0.34252,                 1.0027,              0.0010729,              0.0010729,              0.0010729
                     39,                0.89887,                 1.3962,                0.47256,                 1.0348,                0.98597,                0.98492,                 0.9897,                0.76501,                0.87085,                  0.875,                0.86874,                0.55351,                0.67532,                  1.088,                0.35753,                 1.0009,              0.0010564,              0.0010564,              0.0010564
                     40,                0.86851,                  1.364,                0.46969,                 1.0331,                0.97256,                0.98611,                 0.9849,                0.75983,                0.86047,                  0.875,                0.87565,                0.55372,                0.68866,                 1.0664,                0.35357,                 1.0252,              0.0010399,              0.0010399,              0.0010399
                     41,                0.88385,                  1.377,                0.47508,                 1.0307,                0.99273,                0.98611,                0.98558,                0.76361,                0.89256,                0.88889,                0.88515,                 0.5439,                0.67978,                 1.0687,                0.35287,                 1.0015,              0.0010234,              0.0010234,              0.0010234
                     42,                0.85734,                  1.358,                0.45764,                 1.0126,                0.98871,                0.98264,                0.98618,                0.74069,                0.95591,                0.91319,                0.95256,                0.58888,                0.67275,                 1.1382,                0.34596,                0.98459,              0.0010069,              0.0010069,              0.0010069
                     43,                0.85768,                 1.3675,                0.46968,                 1.0175,                 0.9855,                0.96875,                0.98316,                 0.7711,                0.87204,                0.87153,                0.87599,                0.52468,                0.69598,                 1.1389,                0.39974,                  1.006,             0.00099036,             0.00099036,             0.00099036
