                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.89992,                 1.4772,                0.70171,                 1.1168,                 0.7776,                0.59631,                0.73629,                0.47269,                0.68639,                0.39236,                0.46797,                0.16185,                 1.3816,                 9.7647,                 1.4765,                 1.4839,              0.0013039,              0.0013039,              0.0013039
                     25,                0.89003,                 1.3701,                0.60492,                 1.1057,                0.73645,                0.52312,                0.61939,                0.38156,                0.40811,                0.32639,                0.31728,                0.11564,                 1.5996,                 10.252,                 1.6078,                 1.6275,              0.0012874,              0.0012874,              0.0012874
                     26,                0.91576,                 1.3598,                0.61748,                 1.1125,                0.90163,                0.90435,                0.92409,                0.64471,                0.74843,                0.76293,                0.71352,                0.39091,                0.87433,                 1.8114,                0.83116,                 1.1166,              0.0012709,              0.0012709,              0.0012709
                     27,                0.87941,                 1.1906,                0.56985,                 1.0805,                0.93602,                0.94097,                0.95591,                0.68114,                0.86649,                0.87153,                0.83663,                0.44894,                0.88448,                 2.2891,                0.91605,                 1.1244,              0.0012544,              0.0012544,              0.0012544
                     28,                0.90901,                 1.2918,                0.59971,                  1.108,                0.93308,                0.87204,                0.94791,                0.65102,                0.84041,                0.78483,                0.81818,                  0.398,                 1.0266,                  2.815,                 1.1119,                 1.2181,              0.0012379,              0.0012379,              0.0012379
                     29,                0.85311,                 1.3078,                0.56439,                   1.08,                0.88821,                0.84152,                0.91712,                 0.6369,                0.81788,                0.71225,                0.74534,                0.42525,                 1.0448,                 2.1482,                  1.068,                 1.2514,              0.0012214,              0.0012214,              0.0012214
                     30,                0.84455,                 1.3162,                0.55118,                 1.0808,                0.88592,                0.89236,                 0.8995,                0.61779,                0.82225,                0.82639,                0.80146,                0.46603,                0.94422,                  1.632,                0.98492,                 1.1617,              0.0012049,              0.0012049,              0.0012049
                     31,                0.86063,                 1.3384,                0.55454,                  1.081,                0.90741,                0.91941,                0.95359,                0.71351,                0.86149,                0.86649,                0.85203,                0.50815,                0.82244,                 1.6682,                0.67502,                 1.0887,              0.0011884,              0.0011884,              0.0011884
                     32,                0.79302,                 1.3076,                0.52282,                 1.0473,                0.82375,                0.77778,                0.86809,                0.57737,                0.74067,                0.70139,                0.75515,                0.38693,                 1.2624,                 3.1651,                 1.3926,                 1.4276,              0.0011719,              0.0011719,              0.0011719
                     33,                0.81078,                 1.3122,                0.55266,                 1.0564,                0.87869,                0.90036,                0.94599,                0.61947,                0.82107,                0.83475,                 0.8729,                 0.4953,                 1.0263,                 2.0818,                0.69558,                 1.2541,              0.0011554,              0.0011554,              0.0011554
