                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.76498,                 1.2593,                0.53892,                0.95856,                0.99317,                0.99617,                  0.995,                0.55095,                0.92416,                0.92849,                0.91756,                0.57014,                 1.2384,                 1.3443,                0.60828,                 1.2035,              0.0013039,              0.0013039,              0.0013039
                     25,                0.73372,                 1.1986,                0.51881,                0.94632,                0.99087,                      1,                  0.995,                0.55181,                0.92291,                0.93182,                 0.9382,                0.57467,                 1.0092,                 1.2642,                0.54522,                 1.0635,              0.0012874,              0.0012874,              0.0012874
                     26,                0.70425,                 1.1295,                0.50664,                0.92951,                0.99583,                      1,                  0.995,                0.57965,                0.83658,                0.84091,                  0.779,                 0.4534,                 1.1331,                 1.3548,                 0.5646,                 1.1043,              0.0012709,              0.0012709,              0.0012709
                     27,                0.69826,                 1.0659,                0.46948,                0.92524,                0.99555,                      1,                  0.995,                 0.5966,                0.83677,                0.84091,                0.78756,                0.45924,                  1.111,                 1.2589,                0.55283,                 1.0799,              0.0012544,              0.0012544,              0.0012544
                     28,                0.68511,                 1.1553,                0.47263,                0.91743,                0.99217,                      1,                  0.995,                0.59828,                0.90181,                0.90909,                0.85722,                0.44962,                 1.2544,                 1.8084,                 0.5616,                  1.232,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.7478,                 1.1552,                0.48066,                0.93877,                0.99451,                0.99885,                  0.995,                0.58595,                0.92607,                0.93086,                0.89584,                0.45874,                 1.1291,                  1.753,                0.55331,                 1.1407,              0.0012214,              0.0012214,              0.0012214
                     30,                0.71599,                 1.0969,                0.46625,                0.93317,                0.98111,                      1,                  0.995,                0.62343,                0.93536,                0.95455,                0.91963,                 0.5048,                 1.0181,                 1.4261,                0.50026,                 1.0396,              0.0012049,              0.0012049,              0.0012049
                     31,                0.77935,                 1.1397,                0.49359,                0.92765,                0.96146,                0.98046,                  0.995,                0.57995,                0.81866,                0.84946,                0.78044,                0.42583,                0.96661,                 1.4129,                0.50704,                0.99922,              0.0011884,              0.0011884,              0.0011884
                     32,                0.71968,                 1.0817,                0.47005,                0.92315,                0.96115,                0.97727,                0.99407,                0.56163,                0.80836,                0.86364,                0.78281,                0.39699,                  1.131,                 1.5392,                0.54869,                 1.0784,              0.0011719,              0.0011719,              0.0011719
                     33,                0.69377,                  1.101,                0.46291,                0.91776,                0.94509,                      1,                0.98158,                0.63484,                0.87995,                0.93182,                0.87589,                0.46994,                0.93757,                 1.2744,                  0.526,                0.98037,              0.0011554,              0.0011554,              0.0011554
