                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.001,                 4.5225,                 3.7972,                 1.8626,                0.00183,                 0.0625,                0.00129,                0.00053,                0.00152,                0.05208,                0.00138,                0.00039,                 1.9341,                 3.6079,                 3.8562,                 2.0503,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.3748,                 2.2558,                 2.6886,                 1.3015,                 0.0117,                0.48264,                0.23573,                0.10338,                0.01187,                0.48958,                0.24927,                0.09952,                 1.0965,                 2.6489,                 3.1034,                 1.1514,             0.00021599,             0.00021599,             0.00021599
                      3,                 1.0769,                  1.667,                 1.4367,                 1.0701,                 0.9213,                0.24165,                0.39731,                0.25515,                0.91525,                0.23818,                0.38996,                0.20859,                 1.0234,                 2.1446,                 2.4627,                0.95892,              0.0003312,              0.0003312,              0.0003312
                      4,                 1.0388,                   1.59,                 1.2153,                 1.0429,                0.97092,                0.39363,                0.45115,                0.30594,                0.95015,                0.37627,                0.42762,                0.23916,                 1.0154,                 2.0311,                 2.6768,                0.98884,             0.00044563,             0.00044563,             0.00044563
                      5,                 1.0254,                 1.6376,                 1.1586,                 1.0594,                 0.0161,                0.52083,                0.42788,                0.26636,                 0.0166,                0.55903,                0.42985,                0.19483,                 1.0995,                 2.2831,                 2.8222,                 1.0307,              0.0005593,              0.0005593,              0.0005593
                      6,                0.93169,                 1.5192,                 1.0116,                 1.0207,                0.01404,                0.38194,                0.15579,                0.10628,                0.01552,                0.46875,                0.16241,                0.08179,                 1.0739,                 2.1979,                 3.3245,                 1.1361,             0.00067219,             0.00067219,             0.00067219
                      7,                0.95561,                 1.4054,                0.92957,                 1.0125,                0.02176,                0.90278,                0.03751,                0.02318,                0.02169,                0.86458,                0.03821,                0.02315,                 0.9122,                 1.7169,                 3.2188,                 1.0203,             0.00078432,             0.00078432,             0.00078432
                      8,                0.99132,                 1.5378,                0.88064,                 1.0123,                0.02026,                0.91667,                0.12079,                0.07442,                0.01997,                0.86111,                0.12654,                0.07237,                 1.1086,                 1.8817,                 3.1303,                  1.137,             0.00089567,             0.00089567,             0.00089567
                      9,                0.94676,                 1.4657,                 0.8999,                 1.0225,                0.02797,                0.87847,                0.56549,                0.38323,                0.02803,                0.86806,                0.57009,                0.36034,                0.89616,                 1.5035,                 2.6098,                 1.0912,              0.0010063,              0.0010063,              0.0010063
                     10,                0.91009,                 1.3729,                0.86073,                0.98843,                0.84198,                0.20663,                0.66536,                0.42891,                0.84198,                0.20663,                0.62665,                0.34793,                0.92602,                  1.652,                 2.3622,                 1.1109,              0.0011161,              0.0011161,              0.0011161
